AI+ Studio	AI+ Studio	ai-studio/ai-studio/696794a5779326190325a833
AI Agents	Sprinklr AI Agent	manage-ai-agents/sprinklr-ai-agent/6978b125c836550ff8e79418
AI Copilots	Sprinklr Copilot Features for Platform	platform/sprinklr-copilot-features-for-platform/6941562af0afa271d135f9fa
AI Copilots	Sprinklr Copilot Features for Service	sprinklr-service/sprinklr-copilot-features-for-service/694156088057f03fa0140969
AI Copilots	Sprinklr Copilot Features for Insights	sprinklr-insights/sprinklr-copilot-features-for-insights/6941563af0afa271d135fb97
AI Copilots	Sprinklr Copilot features for Marketing	sprinklr-marketing/sprinklr-copilot-features-for-marketing/694155808057f03fa013cca1
AI Copilots	Sprinklr Copilot Features for Social	sprinklr-social/sprinklr-copilot-features-for-social/694156172727657ea2ffba31
AI Use Cases	Platform Generative AI Use Cases	platform-generative-ai-use-cases/platform-generative-ai-use-cases/697b71d09a795458207842d2
AI Use Cases	Sprinklr Service Generative AI Use Cases	sprinklr-service-generative-ai-use-cases/sprinklr-service-generative-ai-use-cases/697b7208c0c0b637f94b208f
AI Use Cases	Sprinklr Specialised AI Service Features	sprinklr-service-specialized-ai-use-cases/sprinklr-specialised-ai-service-features/69415868041df6338a0317fa
AI Use Cases	Sprinklr Insights Generative AI Use Cases	sprinklr-insights-generative-ai-use-cases/sprinklr-insights-generative-ai-use-cases/697b71e1c0c0b637f94b1e26
AI Use Cases	Sprinklr Specialised AI Insights Features	sprinklr-insights-specialized-ai-use-cases/sprinklr-specialised-ai-insights-features/69415ad02727657ea200140d
AI Use Cases	Sprinklr Marketing Generative AI Use Cases	sprinklr-marketing-generative-ai-use-cases/sprinklr-marketing-generative-ai-use-cases/697b71b5c0c0b637f94b19f5
AI Use Cases	Sprinklr Specialised AI Features for Marketing	sprinklr-marketing-specialized-ai-use-cases/sprinklr-specialised-ai-features-for-marketing/69415930041df6338a0326d1
AI Use Cases	Sprinklr Social Generative AI Use Cases	sprinklr-social-generative-ai-use-cases/sprinklr-social-generative-ai-use-cases/697b71f6c0c0b637f94b1f35
AI Use Cases	Sprinklr Specialised AI Social Features	sprinklr-social-specialized-ai-use-cases/sprinklr-specialised-ai-social-features/694159da041df6338a03343e
